City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Sukhumi,GE,43.0033,41.0153,38.86,97,100,4.81,overcast clouds
186,Brigham City,US,41.5102,-112.0155,75.02,17,0,7.0,clear sky
187,Zhaotong,CN,27.3167,103.7167,43.59,85,0,5.39,clear sky
188,Wewak,PG,-3.5534,143.6268,83.91,71,100,0.81,light rain
189,Acajutla,SV,13.5928,-89.8275,82.42,57,87,4.43,overcast clouds
190,New Glasgow,CA,45.5834,-62.6486,39.78,93,95,6.78,overcast clouds
191,Salinas,US,36.6777,-121.6555,68.61,43,0,24.16,clear sky
192,Puerto Narino,CO,-3.7703,-70.3831,72.23,99,100,1.54,overcast clouds
193,Blackwater,AU,-23.5833,148.8833,79.18,55,38,2.73,scattered clouds
194,Goderich,CA,43.7501,-81.7165,23.92,72,100,24.4,overcast clouds
195,Nisia Floresta,BR,-6.0911,-35.2086,76.98,91,78,6.11,broken clouds
196,Dabou,CI,5.3256,-4.3769,80.01,88,61,7.07,broken clouds
197,Itaporanga,BR,-7.3044,-38.1503,73.71,89,96,1.77,light rain
198,Juneau,US,58.3019,-134.4197,42.84,77,75,8.05,broken clouds
199,Sao Filipe,CV,14.8961,-24.4956,70.38,73,100,7.29,overcast clouds
200,Bredasdorp,ZA,-34.5322,20.0403,64.9,73,45,3.6,scattered clouds
201,Sokoni,TZ,-6.4333,39.55,82.96,74,32,7.7,light rain
202,Ipixuna,BR,-1.7625,-48.8043,75.24,97,100,4.29,moderate rain
203,Thompson,CA,55.7435,-97.8558,13.19,80,29,2.19,scattered clouds
204,Pavlogradka,RU,54.2024,73.5592,3.36,100,87,3.33,overcast clouds
205,Asau,RO,46.4333,26.4,29.32,56,13,2.46,few clouds
206,Bonavista,CA,48.6499,-53.1147,33.06,95,100,24.05,snow
207,Ponta Delgada,PT,37.7333,-25.6667,59.72,88,40,11.5,scattered clouds
208,Katsuura,JP,35.1333,140.3,55.6,81,85,11.36,overcast clouds
209,Juquia,BR,-24.3208,-47.6347,72.1,100,100,1.32,overcast clouds
210,Conde,BR,-7.2597,-34.9075,78.26,94,75,2.3,broken clouds
211,Guanica,PR,17.9716,-66.908,79.05,83,91,3.74,overcast clouds
212,Agadez,NE,19.75,10.25,70.38,6,0,9.17,clear sky
213,Micomeseng,GQ,2.1462,10.6164,70.84,100,74,3.09,broken clouds
214,Yumen,CN,40.2833,97.2,41.45,30,89,12.53,overcast clouds
215,Imeni Poliny Osipenko,RU,52.4201,136.4853,16.29,80,100,3.31,overcast clouds
216,Matamoros,MX,25.5333,-103.25,89.71,5,40,13.8,scattered clouds
217,Reconquista,AR,-29.15,-59.65,66.87,70,0,6.96,clear sky
218,Saint-Francois,FR,46.4154,3.9054,41.68,87,0,0.0,clear sky
219,Cordoba,AR,-31.4135,-64.1811,67.42,77,0,8.05,clear sky
220,Pierre,US,44.3683,-100.351,43.72,24,0,21.85,clear sky
221,Cuauhtemoc,MX,28.4167,-106.8667,72.09,6,100,14.45,overcast clouds
222,Ushtobe,KZ,45.2514,77.9838,39.4,68,100,5.82,overcast clouds
223,Turukhansk,RU,65.8167,87.9833,-15.47,100,100,5.12,overcast clouds
224,Souillac,MU,-20.5167,57.5167,76.75,78,9,6.35,clear sky
225,Loiza,PR,18.4313,-65.8802,78.78,77,20,5.75,few clouds
226,Baykit,RU,61.67,96.37,-3.6,100,76,3.87,broken clouds
227,Haicheng,CN,40.8516,122.7475,46.18,29,0,13.31,clear sky
228,Hithadhoo,MV,-0.6,73.0833,81.43,66,3,5.75,clear sky
229,Bosaso,SO,11.2842,49.1816,74.82,59,3,2.06,clear sky
230,Krasnoselkup,RU,65.7,82.4667,-0.54,100,86,7.78,overcast clouds
231,Komsomolskiy,UZ,40.4272,71.7189,45.55,65,5,0.22,clear sky
232,Qinzhou,CN,21.95,108.6167,58.21,84,100,10.85,light rain
